66.3201829617	40.3927958834
70.6045117076	44.3043974872
71.4706106870	45.0709923664
70.6888728324	44.3819364162
71.5395758489	45.0541198285
71.3774590561	44.8548308945
72.1589735044	45.5381603066
74.3104048759	47.6770425192
75.0220298469	48.3646876413
74.9168704156	48.2698800792
77.6107966151	50.8381091334
78.9969636810	52.1362840126
79.4231599837	52.5840775112
79.8261502621	52.9567268492
78.4928934901	51.7076680119
81.2092481510	54.3626463223
83.0149912841	56.1747821034
82.0729743919	55.2517645686
81.6735205033	54.8358574091
80.4461421823	53.5870414650
79.0372206989	52.2351671431
79.2577163195	52.5409300426
79.4883666550	52.7170583421
79.5334151903	52.6729813483
81.5598583372	54.6651764979
78.9629068004	52.1095299195
77.3626213025	50.5061966561
76.6656334074	49.7733653059
76.6096403889	49.7295302800
77.9374378182	51.0668344355
78.5818884724	51.6259372071
76.8398756088	49.8613507012
76.0821338347	49.1268433112
76.7132521616	49.7892476913
76.2302073516	49.3085532516
77.6629470840	50.7351852939
76.9968960469	50.1164860908
76.0956542138	49.2904814967
75.5976775556	48.8540261568
75.8298458473	49.0804759393
76.1284510997	49.3648806738
77.6637442282	50.8608919282
78.1174649533	51.3307827103
77.5803081592	50.7618186063
78.1508817003	51.3196309705
76.9602335766	50.2026277372
78.6335784314	51.8614612512
79.7266258384	52.8731408574
79.1913367924	52.2786684545
78.9701083790	52.0361845939
76.4962928367	49.7189561562
75.6382904186	48.9105505926
76.1408089521	49.4449236508
75.5376972531	48.9057860900
73.2602217399	46.7242916642
73.4246486741	46.8113717881
70.7416253833	44.1963906582
71.3692660550	44.8520936250
73.1533615919	46.6264570823
72.6066258680	46.1741202777
